repository,stars,age_years,ai_score,ai_validation_reason,pre_commits,pre_issues,pre_avg_resolution_hours,pre_issue_rate_per_month,pre_fix_percent,pre_revert_percent,pre_avg_lines_changed,pre_avg_mi,pre_median_mi,pre_std_mi,pre_avg_cc,pre_median_cc,pre_std_cc,pos_commits,pos_issues,pos_avg_resolution_hours,pos_issue_rate_per_month,pos_fix_percent,pos_revert_percent,pos_avg_lines_changed,pos_avg_mi,pos_median_mi,pos_std_mi,pos_avg_cc,pos_median_cc,pos_std_cc,comparison_mi_change_percent,comparison_cc_change_percent
CTFd/CTFd,6664,11.4,3,3 commits with LLM co-authorship in last 2500 commits,3,110,1128.1069444444445,18.333333333333332,66.66666666666666,0.0,76.0,71.5522647054913,66.57634335225282,24.36194038747893,3.133056133056133,2.0,3.829116052731991,3,26,445.9227777777778,4.333333333333333,33.33333333333333,0.0,415.0,71.0055832844617,66.26256865470948,24.58245592320253,3.3218059558117194,2.0,4.522671569084904,-0.7640309126199445,6.024463486757601
nteract/papermill,6445,8.9,2,2 commits with LLM co-authorship in last 2500 commits,2,59,1109.24,9.833333333333334,50.0,0.0,7.0,60.64397165545307,55.98281083974929,25.71605622630555,2.3356401384083045,2.0,2.9637036743094867,2,11,3709.902222222222,1.8333333333333333,50.0,0.0,273.0,60.882205718887754,55.67728095220175,26.619506570073206,2.3240418118466897,2.0,2.9719150617304444,0.39284047025844804,-0.49658020389728796
Tautulli/Tautulli,6483,11.2,1,1 commits with LLM co-authorship in last 2500 commits,1,95,16.078333333333333,15.833333333333334,0.0,0.0,35.0,62.808057312753704,62.299715646621515,29.704358105310565,3.2595128984089388,2.0,4.844962885495183,1,48,10.974722222222223,8.0,0.0,0.0,254.0,67.54788584318196,67.64020250655737,29.02831056749503,3.2657291615979758,2.0,4.914478836644695,7.546529431448906,0.19071141556369797
cowrie/cowrie,6360,11.0,1,1 commits with LLM co-authorship in last 2500 commits,1,102,32882.239166666666,17.0,100.0,0.0,190.0,61.61289808959447,58.47309914325925,19.99727363920405,3.4900306748466257,2.0,4.282210168293871,1,29,352.2038888888889,4.833333333333333,100.0,0.0,1481.0,64.9159037157547,61.9223803121476,21.886715834200615,3.7335882727852137,2.0,5.088674480215709,5.360899630718813,6.97866639665829
Flagsmith/flagsmith,6364,8.0,8,8 commits with LLM co-authorship in last 2500 commits,8,231,528.8705555555555,38.5,37.5,0.0,169.0,80.07544953484404,100.0,22.862682357082928,2.164383561643836,2.0,1.7324797270606362,8,588,579.3422222222222,98.0,37.5,0.0,149.5,83.562224878634,100.0,20.228225537549296,2.2447310474992137,2.0,1.8734414090469123,4.354362496925755,3.7122572578750535
pallets-eco/flask-admin,6059,14.2,1,1 commits with LLM co-authorship in last 2500 commits,1,1252,988.1544444444445,208.66666666666666,100.0,0.0,27.0,63.14872878159609,59.43426780291105,29.983124513942343,2.63794683776352,2.0,2.722414177880951,1,61,24445.766944444444,10.166666666666666,0.0,0.0,860.0,63.30053998483002,57.29791005129443,28.0413892636123,2.5952380952380953,2.0,2.6483177972615417,0.24040262751602615,-1.6190145272841583
cloud-custodian/cloud-custodian,5985,10.2,2,2 commits with LLM co-authorship in last 2500 commits,2,449,14817.500833333334,74.83333333333333,50.0,0.0,1356.0,72.01723343658377,74.34985219973501,28.927999527888595,3.0711143695014664,2.0,3.0625156710372288,2,201,570.8436111111112,33.5,50.0,0.0,253.5,71.5688351152232,73.83382795216004,29.008947944903806,3.087579152459815,2.0,3.111036031090787,-0.6226264186549423,0.5361175448839158
aiogram/aiogram,5703,8.5,3,3 commits with LLM co-authorship in last 2500 commits,3,120,2708.68125,20.0,33.33333333333333,0.0,13.0,93.26586465047276,100.0,17.85816642348642,1.9805365597054183,1.0,2.1758900604911275,3,28,491.27,4.666666666666667,100.0,0.0,951.0,84.27641556530737,91.01743181489707,18.72208134257493,1.982773851590106,1.0,2.3490025118009137,-9.638520072541699,0.11296392756418336
WeblateOrg/weblate,5878,14.2,5,5 commits with LLM co-authorship in last 2500 commits,5,1097,506.8858333333333,182.83333333333334,20.0,0.0,46.0,68.09785629301453,70.67329929450828,28.458463734871085,2.7781512605042016,2.0,3.1997153146439947,5,1066,259.58500000000004,177.66666666666666,60.0,0.0,22.0,67.42998859870578,70.78702988253492,30.30234017307551,2.78107705406556,2.0,3.2171759187044056,-0.9807470171087657,0.10531440828845477
pylint-dev/pylint,5682,10.4,1,1 commits with LLM co-authorship in last 2500 commits,1,1211,9322.621944444445,201.83333333333334,100.0,0.0,161.0,61.99569944154338,63.06476413668807,26.417908366077505,4.696927374301676,3.0,5.566079251252588,1,187,540.0055555555556,31.166666666666668,0.0,0.0,5.0,62.00476931187833,62.83445730010202,26.20463795303512,4.541494727189363,3.0,5.357785592003519,0.014629837902707343,-3.3092410149395275
Azure/Azure-Sentinel,5851,7.8,7,7 commits with LLM co-authorship in last 2500 commits,7,210,2030.8104166666667,35.0,0.0,0.0,2148.0,64.53697597680747,60.0465288804385,26.184211132987734,3.5926660059464814,2.0,3.755351085117286,7,171,483.9633333333333,28.5,42.857142857142854,0.0,4.0,63.54487457110911,59.24879755169065,26.331048919440974,4.744889267461669,3.0,11.784373562128486,-1.5372604474911966,32.0715385067262
