repository,stars,age_years,primary_language,llm_coauthor_commits,commits_scanned,python_file_count,total_sloc,eligible,rejection_reason,star_bucket,scanned_at,has_ai_config
Bitmessage/PyBitmessage,2880,13.5,Python,0,2500,179,32479,False,sem co-autoria LLM e sem arquivos de config nos últimos 2500 commits,1000-2999,2026-05-24T11:26:51Z,False
alisen39/TrWebOCR,2876,6.1,Python,0,36,14,539,False,sem co-autoria LLM e sem arquivos de config nos últimos 36 commits,1000-2999,2026-05-24T11:27:45Z,False
jamesmawm/High-Frequency-Trading-Model-with-IB,2871,12.0,Python,0,94,7,305,False,sem co-autoria LLM e sem arquivos de config nos últimos 94 commits,1000-2999,2026-05-24T11:28:05Z,False
explorerhq/sql-explorer,2874,12.4,Python,0,1016,56,3128,False,sem co-autoria LLM e sem arquivos de config nos últimos 1016 commits,1000-2999,2026-05-24T11:27:51Z,False
thinkst/opencanary,2871,10.8,Python,0,295,31,5472,False,sem co-autoria LLM e sem arquivos de config nos últimos 295 commits,1000-2999,2026-05-24T11:28:08Z,False
pmorissette/bt,2872,11.9,Python,0,646,4,4016,False,sem co-autoria LLM e sem arquivos de config nos últimos 646 commits,1000-2999,2026-05-24T11:28:03Z,False
lmacken/pyrasite,2870,14.7,Python,0,355,21,809,False,sem co-autoria LLM e sem arquivos de config nos últimos 355 commits,1000-2999,2026-05-24T11:28:13Z,False
kurogai/100-redteam-projects,2865,6.0,Python,0,143,27,1503,False,sem co-autoria LLM e sem arquivos de config nos últimos 143 commits,1000-2999,2026-05-24T11:28:19Z,False
django-compressor/django-compressor,2869,16.3,Python,0,1673,43,2687,False,sem co-autoria LLM e sem arquivos de config nos últimos 1673 commits,1000-2999,2026-05-24T11:28:16Z,False
pybrain/pybrain,2862,16.9,Python,0,992,323,22744,False,sem co-autoria LLM e sem arquivos de config nos últimos 992 commits,1000-2999,2026-05-24T11:28:25Z,False
gwding/draw_convnet,2854,10.3,Python,0,27,1,195,False,sem co-autoria LLM e sem arquivos de config nos últimos 27 commits,1000-2999,2026-05-24T11:28:54Z,False
CharlesPikachu/DecryptLogin,2859,7.2,Python,0,318,96,9300,False,sem co-autoria LLM e sem arquivos de config nos últimos 318 commits,1000-2999,2026-05-24T11:28:53Z,False
scikit-learn-contrib/sklearn-pandas,2852,13.1,Python,0,289,9,596,False,sem co-autoria LLM e sem arquivos de config nos últimos 289 commits,1000-2999,2026-05-24T11:29:06Z,False
tensorflow/lingvo,2864,7.8,Python,0,2500,439,178274,False,sem co-autoria LLM e sem arquivos de config nos últimos 2500 commits,1000-2999,2026-05-24T11:28:23Z,False
binance/binance-connector-python,2853,6.1,Python,0,190,2103,260574,False,sem co-autoria LLM e sem arquivos de config nos últimos 190 commits,1000-2999,2026-05-24T11:28:56Z,False
cdhigh/KindleEar,2840,12.9,Python,0,611,337,96606,False,sem co-autoria LLM e sem arquivos de config nos últimos 611 commits,1000-2999,2026-05-24T11:29:12Z,False
howie6879/owllook,2840,9.3,Python,0,347,54,3786,False,sem co-autoria LLM e sem arquivos de config nos últimos 347 commits,1000-2999,2026-05-24T11:29:29Z,False
cybertronai/gradient-checkpointing,2839,8.7,Python,0,146,1,287,False,sem co-autoria LLM e sem arquivos de config nos últimos 146 commits,1000-2999,2026-05-24T11:29:33Z,False
zzw922cn/Automatic_Speech_Recognition,2838,9.5,Python,0,266,46,2969,True,elegível via arquivo de configuração de IA (.cursor/.aider),1000-2999,2026-05-24T11:29:34Z,True
MichalDanielDobrzanski/DeepLearningPython,2834,9.8,Python,0,19,8,992,False,sem co-autoria LLM e sem arquivos de config nos últimos 19 commits,1000-2999,2026-05-24T11:29:40Z,False
rosinality/stylegan2-pytorch,2833,6.4,Python,0,105,25,3986,False,sem co-autoria LLM e sem arquivos de config nos últimos 105 commits,1000-2999,2026-05-24T11:29:43Z,False
tfranzel/drf-spectacular,2836,6.2,Python,0,1386,38,5687,False,sem co-autoria LLM e sem arquivos de config nos últimos 1386 commits,1000-2999,2026-05-24T11:29:38Z,False
pexpect/pexpect,2838,12.7,Python,0,1638,24,4009,False,sem co-autoria LLM e sem arquivos de config nos últimos 1638 commits,1000-2999,2026-05-24T11:29:37Z,False
ethan-funny/explore-python,2831,9.6,Python,0,136,0,0,False,sem co-autoria LLM e sem arquivos de config nos últimos 136 commits,1000-2999,2026-05-24T11:30:06Z,False
huggingface/knockknock,2827,7.2,Python,0,75,15,1296,False,sem co-autoria LLM e sem arquivos de config nos últimos 75 commits,1000-2999,2026-05-24T11:30:09Z,False
cdgriffith/Box,2821,9.2,Python,0,57,9,2318,False,sem co-autoria LLM e sem arquivos de config nos últimos 57 commits,1000-2999,2026-05-24T11:30:12Z,False
pypa/setuptools,2832,10.2,Python,1,9,224,45586,True,,1000-2999,2026-05-24T11:29:50Z,False
werner-duvaud/muzero-general,2819,6.4,Python,0,132,19,5038,True,elegível via arquivo de configuração de IA (.cursor/.aider),1000-2999,2026-05-24T11:30:54Z,True
niklasf/python-chess,2819,13.6,Python,0,2500,16,16148,False,sem co-autoria LLM e sem arquivos de config nos últimos 2500 commits,1000-2999,2026-05-24T11:30:14Z,False
striver-ing/wechat-spider,2818,8.5,Python,0,20,12,2032,False,sem co-autoria LLM e sem arquivos de config nos últimos 20 commits,1000-2999,2026-05-24T11:31:08Z,False
mhagger/git-imerge,2819,13.1,Python,0,563,2,3294,False,sem co-autoria LLM e sem arquivos de config nos últimos 563 commits,1000-2999,2026-05-24T11:30:58Z,False
bmoscon/cryptofeed,2829,8.4,Python,0,2500,99,15356,False,sem co-autoria LLM e sem arquivos de config nos últimos 2500 commits,1000-2999,2026-05-24T11:30:09Z,False
picklepete/pyicloud,2816,13.4,Python,0,271,15,2547,False,sem co-autoria LLM e sem arquivos de config nos últimos 271 commits,1000-2999,2026-05-24T11:31:12Z,False
kemayo/sublime-text-git,2817,14.7,Python,0,556,17,1723,False,sem co-autoria LLM e sem arquivos de config nos últimos 556 commits,1000-2999,2026-05-24T11:31:10Z,False
aaronsw/html2text,2813,15.3,Python,0,153,2,772,False,sem co-autoria LLM e sem arquivos de config nos últimos 153 commits,1000-2999,2026-05-24T11:31:18Z,False
grayddq/GScan,2815,7.2,Python,0,182,31,2836,False,sem co-autoria LLM e sem arquivos de config nos últimos 182 commits,1000-2999,2026-05-24T11:31:15Z,False
philipperemy/keras-attention,2812,9.0,Python,0,103,3,88,False,sem co-autoria LLM e sem arquivos de config nos últimos 103 commits,1000-2999,2026-05-24T11:31:22Z,False
Trusted-AI/AIF360,2812,7.8,Python,0,440,134,17205,True,elegível via arquivo de configuração de IA (.cursor/.aider),1000-2999,2026-05-24T11:31:23Z,True
ecthros/uncaptcha,2812,8.7,Python,0,35,5,994,False,sem co-autoria LLM e sem arquivos de config nos últimos 35 commits,1000-2999,2026-05-24T11:31:20Z,False
adapter-hub/adapters,2812,6.1,Python,0,189,136,21381,False,sem co-autoria LLM e sem arquivos de config nos últimos 189 commits,1000-2999,2026-05-24T11:31:27Z,False
scrapinghub/dateparser,2808,11.5,Python,1,4,254,53833,True,,1000-2999,2026-05-24T11:31:38Z,False
RocketMap/RocketMap,2812,9.8,Python,0,1666,26,8788,False,sem co-autoria LLM e sem arquivos de config nos últimos 1666 commits,1000-2999,2026-05-24T11:31:36Z,False
awslabs/amazon-redshift-utils,2807,11.5,Python,0,1481,63,12578,False,sem co-autoria LLM e sem arquivos de config nos últimos 1481 commits,1000-2999,2026-05-24T11:31:40Z,False
DLR-RM/rl-baselines3-zoo,2806,6.1,Python,1,4,34,4220,True,,1000-2999,2026-05-24T11:32:17Z,False
gruns/furl,2806,14.5,Python,0,566,7,1586,False,sem co-autoria LLM e sem arquivos de config nos últimos 566 commits,1000-2999,2026-05-24T11:32:18Z,False
achillean/shodan-python,2803,15.7,Python,0,382,24,3082,False,sem co-autoria LLM e sem arquivos de config nos últimos 382 commits,1000-2999,2026-05-24T11:32:31Z,False
python-gino/gino,2805,8.8,Python,0,1128,37,7044,False,sem co-autoria LLM e sem arquivos de config nos últimos 1128 commits,1000-2999,2026-05-24T11:32:20Z,False
omab/python-social-auth,2804,13.5,Python,0,1973,208,556,False,sem co-autoria LLM e sem arquivos de config nos últimos 1973 commits,1000-2999,2026-05-24T11:32:28Z,False
LimerBoy/Impulse,2799,6.3,Python,0,79,25,803,False,sem co-autoria LLM e sem arquivos de config nos últimos 79 commits,1000-2999,2026-05-24T11:33:13Z,False
gkbrk/slowloris,2798,11.1,Python,0,49,2,203,False,sem co-autoria LLM e sem arquivos de config nos últimos 49 commits,1000-2999,2026-05-24T11:33:16Z,False
brightmart/roberta_zh,2789,6.7,Python,0,41,7,2725,False,sem co-autoria LLM e sem arquivos de config nos últimos 41 commits,1000-2999,2026-05-24T11:33:18Z,False
micropython/micropython-lib,2801,12.2,Python,0,1689,434,36298,False,sem co-autoria LLM e sem arquivos de config nos últimos 1689 commits,1000-2999,2026-05-24T11:32:39Z,False
