Nome,Popularidade_Stars,Maturidade_Idade,Atividade_Releases,Tamanho_LOC,Tamanho_Comentarios,CBO,DIT,LCOM
android-async-http/android-async-http,10618,15.11,3,7620,3451,5.66,1.79,45.88
resilience4j/resilience4j,10611,10.83,36,65780,0,7.18,1.45,17.66
jeasonlzy/okhttp-OkGo,10587,10.21,14,13418,5848,5.65,1.62,19.45
google/auto,10554,12.86,67,32353,10822,4.12,1.71,25.93
Activiti/Activiti,10521,13.54,1000,157277,0,5.81,1.52,89.62
lipangit/JiaoZiVideoPlayer,10504,10.15,78,4511,250,7.28,2.12,56.64
signalapp/Signal-Server,10470,12.31,0,60089,10532,9.31,1.48,15.66
tbruyelle/RxPermissions,10440,10.5,11,876,113,4.65,1.1,10.1
JingMatrix/Vector,10426,2.7,5,20302,4000,5.44,1.68,56.99
SonarSource/sonarqube,10384,15.23,70,418590,0,7.27,1.16,27.67
awsdocs/aws-doc-sdk-examples,10384,9.62,0,83593,0,7.11,1.04,6.36
JessYanCoding/MVPArms,10269,9.65,25,5986,4850,6.64,1.28,32.1
ZCShou/GoGoGo,10160,4.32,8,3813,278,7.71,1.46,12.88
JakeWharton/ViewPagerIndicator,10085,14.66,0,2947,360,6.02,2.71,29.27
stanfordnlp/CoreNLP,10063,12.76,19,557599,132428,5.92,1.65,148.58
happydog-intj/JsBridge,9929,11.09,0,1160,219,3.5,1.16,17.09
xuchengsheng/spring-reading,9925,2.54,0,3078,0,2.81,1.03,0.54
wasabeef/glide-transformations,9909,11.22,0,991,443,5.56,2.15,2.78
googlesamples/easypermissions,9895,10.27,12,1705,414,8.94,1.48,12.21
paascloud/paascloud-master,9884,8.04,0,16428,22986,6.1,1.32,5.46
hackware1993/MagicIndicator,9812,9.76,12,4533,278,5.0,1.34,26.94
OpenFeign/feign,9782,12.76,49,40161,12896,5.09,1.67,14.29
HarlonWang/AVLoadingIndicatorView,9776,10.43,1,2161,171,3.57,1.78,6.75
lihengming/spring-boot-api-project-seed,9713,8.77,4,484,71,5.0,1.27,9.73
spinnaker/spinnaker,9710,11.75,28,244234,0,6.62,1.51,14.11
YoKeyword/Fragmentation,9704,10.1,30,8981,1606,5.23,1.71,15.12
apache/cassandra,9678,16.86,0,780539,214498,6.89,1.77,60.53
perwendel/spark,9663,14.9,0,9588,6613,4.54,1.3,47.12
koral--/android-gif-drawable,9655,13.16,63,2949,1497,6.12,1.66,59.73
AutoMQ/automq,9642,2.62,81,676155,222040,7.22,1.4,45.89
flyway/flyway,9640,13.29,292,31728,0,5.93,1.5,51.2
ksoichiro/Android-ObservableScrollView,9625,11.39,0,12621,2935,5.01,1.97,7.57
bilibili/DanmakuFlameMaster,9612,12.64,5,12879,1339,5.16,1.61,47.51
seven332/EhViewer,9556,11.88,97,44372,7906,7.14,1.82,45.26
MyCATApache/Mycat-Server,9540,11.32,7,92943,31068,4.9,1.29,78.49
liaohuqiu/android-Ultra-Pull-To-Refresh,9529,11.38,8,5476,642,4.06,1.42,19.14
crossoverJie/cim,9488,7.86,9,5634,1697,4.89,1.28,5.84
spring-projects/spring-security,9480,14.22,249,288661,0,7.71,1.26,10.48
umano/AndroidSlidingUpPanel,9480,12.83,8,2011,916,4.94,1.35,132.0
Justson/AgentWeb,9410,8.88,21,11320,2829,5.4,1.49,18.79
json-path/JsonPath,9393,15.18,12,17152,3489,4.59,1.48,29.39
pockethub/PocketHub,9377,14.56,1,6980,5210,6.58,1.48,9.04
huanghaibin-dev/CalendarView,9371,9.05,1,11557,4203,6.57,2.16,53.18
GcsSloop/AndroidNote,9338,10.24,0,402,85,4.88,1.38,8.12
apache/jmeter,9299,15.85,10,126976,67371,5.53,2.0,62.19
